text,correct_class,reason
Пример 1. Решите уравнение xn + 1 = 0 для любого нату- рального n.,Formula,"В данном блоке содержится очевидная математическая формула 'x^n + 1 = 0', которая обведена синей рамкой как обычный текст. Хотя формула встроена в предложение, она является основным математическим элементом и должна быть классифицирована как формула, а не как часть повествовательного текста."
и мнимая части выражения в левой части должны быть рав-,NarrativeText,"Этот фрагмент является обычным текстовым продолжением предложения в абзаце, но ошибочно выделен отдельной светло-зеленой рамкой и классифицирован как 'Формула (Химия)'."
"ΔH° = 2ΔfH°(MgCl2(т)) – ΔfH°(TiCl4(ж)) = 2(–641) – (–804) = –478 кДж. ческой» mпракт продукта реакции, т.е. массы реально полученного продукта, к «массе теоретической» mтеор, вычисленной по уравнению реакции:",Formula,Обособленная физико-химическая формула для расчета энтальпии ошибочно помечена как обычный текст (синяя рамка).
ны 0:,NarrativeText,"Блок содержит символы '0:', которые являются окончанием предложения («...должны быть равны 0:») и не являются химической формулой, однако ошибочно помечены типом 'chem' (светло-зеленая рамка)."
,NarrativeText,"Слово 'Пример.' является обычным текстом (NarrativeText), а не частью математического выражения, но оно ошибочно включено в блок, классифицированный как формула (зеленая рамка)."
,NarrativeText,"Этот блок содержит окончание обычного текстового слова ('равны') и число, завершающее предложение. Он ошибочно классифицирован как химическая формула (тип 'chem')."
,Formula,"Данная строка является обособленной математической формулой (ответом), но ошибочно классифицирована как обычный текст (NarrativeText)."
,NarrativeText,"Слово «Пример.» является вводным текстом и должно быть классифицировано как NarrativeText (синяя рамка), однако оно ошибочно включено в блок формулы (зеленая рамка)."
i,NarrativeText,"Блок ошибочно классифицирован как формула (зеленая рамка), хотя он включает в себя вводное слово 'Пример.', которое является обычным текстом. В аналогичных случаях ниже (например, 'Пример 1.') такие блоки классифицированы как текст."
ны 0:,NarrativeText,Фрагмент обычного текстового предложения (окончание слова «равны» и двоеточие) ошибочно классифицирован как химическая формула (Formula chem).
i,Formula,Обособленная итоговая математическая формула ошибочно включена в текстовый блок вместо классификации как Formula.
(1,Formula (math),Математическое преобразование комплексных чисел ошибочно классифицировано как физическая формула (зеленый цвет/phys).
1),Formula (math),Математическое вычисление ошибочно определено как химическая формула (ярко-зеленый цвет/chem).
i,Formula (math),"Тригонометрическое уравнение является чисто математическим объектом, а не химической формулой."
i,Formula (math),"Данное выражение является чисто математической тригонометрической формулой, но ошибочно выделено ярко-зеленым цветом, соответствующим разделу химии."
i)(1+i),Formula (math),Этот блок содержит математические преобразования комплексных чисел. Он ошибочно классифицирован как физическая формула (зеленый цвет) и переходит в химическую в следующем сегменте.
ческой модели; провести моделирование поведения поверхностных трещин,NarrativeText,"Обычный текст на русском языке, а не формула"
При математическом моделировании процесса горячей прокатки сляба,NarrativeText,"Текстовое описание процесса, а не формула"
где о;;,NarrativeText,"Слово-союз 'где' с пояснениями, а не формула"
ij - девиатор напряжений;,NarrativeText,"Пояснение обозначений в тексте, а не формула"
где Ψ - скалярная мера поврежденности,NarrativeText,"Текстовое пояснение начинается со слова 'где', а не формула"
=i.,Formula (math),"i - мнимая единица в математических формулах, отсутствуют физические переменные"
i)(1+i),NarrativeText,"неполный фрагмент, не являющийся самостоятельной формулой"
i,Formula (math),"тригонометрическая формула с комплексными числами, отсутствуют химические элементы"
ны 0:,NarrativeText,"Это фрагмент русского предложения, а не химическая формула"
"Для того чтобы это уравнение выполнялось, и действительная,",NarrativeText,"Это развернутый русский текст, а не формула"
"Казалось бы, данное уравнение имеет бесконечно много кор-",NarrativeText,"Это продолжение русского предложения, а не формула"
i)(1+i),Formula (math),"Это комплексное число и алгебраическое выражение, относится к математике, а не к химии"
=i.,Formula (math),"Это мнимая единица в комплексных числах, относится к математике"
i,Formula (math),"Тригонометрические функции и комплексные числа - это математика, а не химия"
ны 0:,NarrativeText,"Это фрагмент текста, а не химическая формула - суффикс слова 'равны'"
"Казалось бы, данное уравнение имеет бесконечно много кор-",NarrativeText,"Это продолжение текстового предложения, а не формула"
Если вспомнить геометрическое представление мнимых чи-,NarrativeText,"Это текстовое предложение, а не формула"
= 1+2i+i2,Formula (math),"Комплексные числа с i, но это математическое выражение, а не физическая формула"
=i.,Formula (math),"Простая математическая формула с мнимой единицей, не физическая"
i)(1+i),Formula (math),Математическое выражение с комплексными числами
i,Formula (math),Формула Эйлера - чистая математическая формула
(,Formula (math),"Тригонометрическая формула, математическая, а не физическая"
"Для того чтобы это уравнение выполнялось, и действительная,",NarrativeText,"Это обычный нарративный текст, описывающий условие уравнения, а не формула"
ны 0:,NarrativeText,"Это просто фрагмент слова 'равны', а не математическая формула"
−,Formula (math),"Чистая тригонометрическая формула без физических переменных, должна быть классифицирована как математическая"
1),Formula (math),"Математическая формула с n, π, k - без физических переменных (F, v, P, E)"
"Казалось бы, данное уравнение имеет бесконечно много кор-",NarrativeText,"Нарративный текст, описывающий свойства уравнения"
Если вспомнить геометрическое представление мнимых чи-,NarrativeText,"Обычный текст-назначение, не содержит формул"
= 1+2i+i2,Formula (math),"Чистая математическая формула с комплексными числами, без физических переменных или констант"
=i.,Formula (math),"Математическая формула с мнимой единицей, без физических символов"
i)(1+i),Formula (math),"Алгебраическая формула с комплексными числами, математический характер"
i,Formula (math),"Формула Эйлера - чистая математическая формула с тригонометрическими функциями, без физических переменных"
(,Formula (math),"Тригонометрическая формула, математический характер, не содержит физических переменных F, v, P, E"
−,Formula (math),"Содержит только математические функции (exp, cos, sin) без физических переменных или констант"
1),Formula (math),"Математическое уравнение без физического контекста, следует за текстом о корнях уравнения x^n + 1 = 0"
= 1+2i+i2,Formula (math),"Это комплексное число с i, чистая математика, не содержит физических переменных"
=i.,Formula (math),"Простая математическая формула, не содержит физических символов"
i)(1+i),Formula (math),Фрагмент алгебраической формулы с комплексными числами
i,Formula (math),Формула Эйлера - чистая математическая формула с тригонометрическими функциями
(,Formula (math),"Тригонометрические функции и комплексные числа - это математика, не физика"
"exp(3πi/5) exp(πi/5) − 1 0 exp(9πi/5) exp(7πi/5) ны 0: cos(nϕ) = − sin(nϕ) = 0. 1, (",Formula (math),"Содержит экспоненциальные функции, тригонометрические функции (cos, sin) и pi - это чистая математика без физических переменных или констант"
1),Formula (math),"Математическая формула с переменными n, ϕ, k и pi, без физических переменных (F, v, P, E) или физических констант"
= 1+2i+i2,Formula (math),"Это арифметическая операция с комплексными числами, относится к математике, а не к физике"
=i.,Formula (math),"Простая математическая формула с мнимой единицей, не содержит физических величин"
i)(1+i),Formula (math),"Математическое выражение с комплексными числами, относится к алгебре"
(1,NarrativeText,"Это фрагмент формулы, не являющийся самостоятельной формулой; следует рассматривать как текст"
1),NarrativeText,"Это фрагмент формулы, не являющийся самостоятельной формулой; следует рассматривать как текст"
(,NarrativeText,Отдельный символ открывающей скобки не является формулой
eix = cosx+isinx.,Formula (math),"Формула Эйлера - классическая математическая формула, не содержит физических переменных или констант"
cos(nϕ)+1+isin(nϕ) = 0.,Formula (math),"Тригонометрические функции в математическом контексте, без физических величин"
"exp(3πi/5) exp(πi/5) − 1 0 exp(9πi/5) exp(7πi/5) ны 0: cos(nϕ) = − sin(nϕ) = 0. 1, ( nϕ = π(2k+1), ϕ = 2k+1 n π, k ∈ Z.",Formula (math),"Текст содержит математические выражения: exp(3πi/5), cos(nϕ), sin(nϕ), интегралы и т.д. Это математические формулы, а не рисунок."
При делении комплексных чисел используется умножение,NarrativeText,"Это текстовое пояснение, а не формула"
нателю.,NarrativeText,"Фрагмент текста 'к числителю', а не формула"
= 1+2i+i2,Formula (math),"Математическое выражение с комплексными числами, без физических переменных"
=i.,Formula (math),"Математический результат, без физических переменных"
i)(1+i),Formula (math),Математическое выражение
(1,Formula (math),Часть математического выражения
1),Formula (math),Часть математического выражения
i,Formula (math),Математическая переменная (мнимая единица)
(,Formula (math),Математический символ - открывающая скобка
−,Formula (math),Математический символ (знак вычитания)
−,Formula (math),Математический символ (знак вычитания)
−,Formula (math),Математический символ (знак вычитания)
−,Formula (math),Математический символ (знак вычитания)
eix = cosx+isinx.,Formula (math),Формула Эйлера - чистая математика без физических переменных
При действиях с мнимыми числами нарушаются многие,NarrativeText,Текстовое предложение с продолжением мысли
и подставим это определение в уравнение:,NarrativeText,Текстовое слово-пояснение
cos(nϕ)+1+isin(nϕ) = 0.,Formula (math),"Тригонометрическая формула с мнимыми числами, без физических переменных"
"*) Это справедливо, если коэффициенты уравнения – действительные числа.",NarrativeText,Текстовое пояснение со скобкой-сноской
"exp(3πi/5) exp(πi/5) − 1 0 exp(9πi/5) exp(7πi/5) ны 0: cos(nϕ) = − sin(nϕ) = 0. 1, ( nϕ = π(2k+1), ϕ = 2k+1 n π, k ∈ Z.",Formula (math),"Содержит сложные математические выражения с экспонентами, тригонометрическими функциями, π и переменными - это математические формулы, а не рисунок"
